species,range
Quercus_acerifolia,ENA
Quercus_acutifolia,TMVB
Quercus_aff._transmontana,SMOC
Quercus_affinis,TMVB
Quercus_agrifolia,CA
Quercus_agrifolia_var._oxyadenia,CA
Quercus_ajoensis,SMOC
Quercus_alba,ENA
Quercus_albocinta,SMOC
Quercus_ariifolia,TMVB
Quercus_aristata,SMOC
Quercus_arizonica,SMOC
Quercus_arkansana,ENA
Quercus_austrina,ENA
Quercus_benthamii,TROP
Quercus_berberidifolia,CA
Quercus_bicolor,ENA
Quercus_bolanyosensis,SMOC
Quercus_boyntonii,ENA
Quercus_brandegeei,CA
Quercus_brenesii,TROP
Quercus_buckleyi,ENA
Quercus_bumelioides,TROP
Quercus_calophylla,TMVB
Quercus_canbyi,SMOR
Quercus_castanea,TMVB
Quercus_cedrosensis,CA
Quercus_cf._depressipes,SMOC
Quercus_cf._striatula,SMOR
Quercus_chapmanii,ENA
Quercus_chihuahuensis,SMOC
Quercus_chrysolepis,CA
Quercus_coccinea,ENA
Quercus_coffeicolor,SMOC
Quercus_convallata,SMOC
Quercus_conzattii,SMOC
Quercus_copeyensis,TROP
Quercus_cornelius-mulleri,CA
Quercus_corrugata,TROP
Quercus_cortesii,TROP
Quercus_costaricensis,TROP
Quercus_crassifolia_s.l,SMOC
Quercus_crassipes,TMVB
Quercus_crispifolia,TROP
Quercus_cupreata,SMOR
Quercus_delgadoana,TMVB
Quercus_deserticola,TMVB
Quercus_diversifolia,TMVB
Quercus_douglasii,CA
Quercus_dumosa,CA
Quercus_durata,CA
Quercus_durifolia,SMOC
Quercus_eduardi,SMOC
Quercus_elliottii,ENA
Quercus_ellipsoidalis,ENA
Quercus_elliptica,TROP
Quercus_emoryi,SMOC
Quercus_engelmannii,CA
Quercus_eugeniifolia,TROP
Quercus_falcata,ENA
Quercus_frutex,TMVB
Quercus_fulva,SMOC
Quercus_fusiformis,ENA
Quercus_galeanensis,SMOR
Quercus_garryana,CA
Quercus_geminata,ENA
Quercus_gentryi,SMOC
Quercus_georgiana,ENA
Quercus_germana,TMVB
Quercus_glabrescens,TMVB
Quercus_glaucescens,TMVB
Quercus_glaucoides,TMVB
Quercus_graciliformis,SMOR
Quercus_grahamii,TMVB
Quercus_gravesii,SMOR
Quercus_grisea,SMOC
Quercus_havardii,SMOR
Quercus_hemisphaerica,ENA
Quercus_hinckleyi,SMOR
Quercus_huicholensis,SMOC
Quercus_humboldtii,TROP
Quercus_hypoleucoides,SMOC
Quercus_hypoxantha,SMOR
Quercus_ilicifolia,ENA
Quercus_iltisii,TMVB
Quercus_imbricaria,ENA
Quercus_incana,ENA
Quercus_inopina,ENA
Quercus_insignis,TROP
Quercus_intricata,SMOR
Quercus_invaginata,SMOR
Quercus_john-tuckeri,CA
Quercus_jonesii,SMOC
Quercus_kelloggii,CA
Quercus_laceyi,SMOR
Quercus_laevis,ENA
Quercus_lancifolia,TROP
Quercus_laurifolia,ENA
Quercus_laurina,TMVB
Quercus_liebmannii,TMVB
Quercus_lobata,CA
Quercus_lowilliamsii,TROP
Quercus_lyrata,ENA
Quercus_macdougallii,TMVB
Quercus_macrocarpa,ENA
Quercus_magnoliifolia,TMVB
Quercus_margarettae,ENA
Quercus_marilandica,ENA
Quercus_martinezii,TMVB
Quercus_meavei,TMVB
Quercus_mexicana,TMVB
Quercus_michauxii,ENA
Quercus_minima,ENA
Quercus_miquihuanensis,SMOR
Quercus_mohriana,SMOR
Quercus_montana,ENA
Quercus_muehlenbergii,ENA
Quercus_myrtifolia,ENA
Quercus_nigra,ENA
Quercus_nudinervis,SMOC
Quercus_oblongifolia,SMOC
Quercus_obtusata,TMVB
Quercus_ocoteifolia,TMVB
Quercus_oglethorpensis,ENA
Quercus_oleoides,TROP
Quercus_opaca,SMOR
Quercus_pacifica,CA
Quercus_pagoda,ENA
Quercus_palmeri,SMOC
Quercus_palustris,ENA
Quercus_parvula_var._parvula,CA
Quercus_parvula_var._shrevei,CA
Quercus_peduncularis,TROP
Quercus_peninsularis,CA
Quercus_pennivenia,SMOC
Quercus_phellos,ENA
Quercus_pinnativenulosa,TMVB
Quercus_planipocula,TMVB
Quercus_polymorpha,TMVB
Quercus_porphyrogenita,SMOR
Quercus_pringlei,SMOR
Quercus_prinoides,ENA
Quercus_pungens,SMOR
Quercus_purulhana,TROP
Quercus_radiata,SMOC
Quercus_resinosa,TMVB
Quercus_robusta,SMOR
Quercus_rubra,ENA
Quercus_rugosa,SMOC
Quercus_rysophylla,SMOR
Quercus_sadleriana,CA
Quercus_sagraeana,ENA
Quercus_salicifolia,TROP
Quercus_sapotifolia,TROP
Quercus_sartorii,TMVB
Quercus_scytophylla,TMVB
Quercus_sebifera,TMVB
Quercus_segoviensis,TROP
Quercus_shumardii,ENA
Quercus_shumardii_var._schneckii,ENA
Quercus_sideroxyla,SMOC
Quercus_similis,ENA
Quercus_sinuata,ENA
Quercus_stellata,ENA
Quercus_subspathulata,SMOC
Quercus_tarahumara,SMOC
Quercus_texana,ENA
Quercus_tomentella,CA
Quercus_toumeyi,SMOC
Quercus_tuitensis,TMVB
Quercus_turbinella,SMOC
Quercus_uxoris,TMVB
Quercus_vacciniifolia,CA
Quercus_vaseyana,SMOR
Quercus_velutina,ENA
Quercus_viminea,SMOC
Quercus_virginiana,ENA
Quercus_wislizeni,CA
Quercus_xalapensis,TMVB
