V1	V2
Quercus_aff._transmontana|QUE001294	Quercus_aff._transmontana|QUE001294
Quercus_chihuahuensis|QUE001328	Quercus_chihuahuensis|QUE001328
Quercus_convallata|QUE001258	Quercus_convallata|QUE001258
Quercus_arizonica|QUE000155	Quercus_arizonica|QUE000155
Quercus_engelmannii|QUE000310	Quercus_engelmannii|QUE000310
Quercus_oblongifolia|QUE002042	Quercus_oblongifolia|QUE002042
Quercus_ajoensis|QUE000178	Quercus_ajoensis|QUE000178
Quercus_turbinella|QUE000176	Quercus_turbinella|QUE000176
Quercus_toumeyi|QUE000160	Quercus_toumeyi|QUE000160
Quercus_grisea|QUE000163	Quercus_grisea|QUE000163
Quercus_cf._striatula|QUE002051	Quercus_cf._striatula|QUE002051
Quercus_cf._depressipes|QUE002026	Quercus_cf._depressipes|QUE002026
Quercus_deserticola|QUE000429	Quercus_deserticola|QUE000429
Quercus_obtusata|QUE000474	Quercus_obtusata|QUE000474
Quercus_peduncularis|QUE000408	Quercus_peduncularis|QUE000408
Quercus_glaucoides|QUE000207	Quercus_glaucoides|QUE000207
Quercus_diversifolia|QUE000302	Quercus_diversifolia|QUE000302
Quercus_frutex|QUE002743	Quercus_frutex|QUE002743
Quercus_glaucescens|QUE000251	Quercus_glaucescens|QUE000251
Quercus_liebmannii|QUE000200	Quercus_liebmannii|QUE000200
Quercus_magnoliifolia|QUE000422	Quercus_magnoliifolia|QUE000422
Quercus_resinosa|QUE000378	Quercus_resinosa|QUE000378
Quercus_nudinervis|QUE002013	Quercus_nudinervis|QUE002013
Quercus_subspathulata|QUE002018	Quercus_subspathulata|QUE002018
Quercus_purulhana|QUE001577	Quercus_purulhana|QUE001577
Quercus_segoviensis|QUE000536	Quercus_segoviensis|QUE000536
Quercus_ariifolia|QUE002845	Quercus_ariifolia|QUE002845
Quercus_glabrescens|QUE000824	Quercus_glabrescens|QUE000824
Quercus_rugosa|QUE002665	Quercus_rugosa|QUE002665
Quercus_copeyensis|QUE001085	Quercus_copeyensis|QUE001085
Quercus_corrugata|QUE000542	Quercus_corrugata|QUE000542
Quercus_insignis|QUE001578	Quercus_insignis|QUE001578
Quercus_lancifolia|QUE000523	Quercus_lancifolia|QUE000523
Quercus_macdougallii|QUE002864	Quercus_macdougallii|QUE002864
Quercus_martinezii|QUE001586	Quercus_martinezii|QUE001586
Quercus_sebifera|QUE002758	Quercus_sebifera|QUE002758
Quercus_germana|QUE000823	Quercus_germana|QUE000823
Quercus_intricata|QUE002842	Quercus_intricata|QUE002842
Quercus_opaca|QUE002833	Quercus_opaca|QUE002833
Quercus_pringlei|QUE004078	Quercus_pringlei|QUE004078
Quercus_hinckleyi|QUE000280	Quercus_hinckleyi|QUE000280
Quercus_pungens|QUE000680	Quercus_pungens|QUE000680
